"T","U:0","U:1","U:2","alphat","k","nut","omega","p","Points:0","Points:1","Points:2"
412.4,0,0,0,3.6952e-06,1947.4,0.00076104,76722,505.17,1,0,0.05
403.41,195.17,0.015941,0,9.2614e-05,2038.1,0.020668,65040,505.17,1,0.0031679,0.05
381.13,422.2,0.051448,0,0.00031517,2149.3,0.068464,38358,505.18,1,0.0095171,0.05
360.52,469.94,0.094885,0,0.00056659,2058.5,0.11899,18740,505.18,1,0.015893,0.05
347.81,496.79,0.14583,0,0.00078865,1873.2,0.16049,12142,505.18,1,0.022297,0.05
338.05,516.4,0.20308,0,0.00098523,1740.8,0.1952,9094,505.19,1,0.028727,0.05
329.93,532.11,0.26636,0,0.0011546,1628.8,0.22345,7363.8,505.19,1,0.035185,0.05
322.86,545.4,0.33578,0,0.0012918,1525.7,0.24479,6265,505.2,1,0.04167,0.05
316.5,557.06,0.41159,0,0.0013934,1426.6,0.25894,5518.2,505.2,1,0.048183,0.05
310.64,567.61,0.49443,0,0.0014522,1328.8,0.26496,4987,505.21,1,0.054724,0.05
305.08,577.41,0.58538,0,0.0014622,1229.8,0.2621,4593.7,505.21,1,0.061292,0.05
299.71,586.74,0.68569,0,0.0014275,1127.3,0.25143,4289.1,505.22,1,0.067888,0.05
294.43,595.77,0.79646,0,0.0013575,1019.4,0.23493,4039.2,505.22,1,0.074513,0.05
289.19,604.58,0.91836,0,0.0012623,905.19,0.21461,3820.2,505.23,1,0.081165,0.05
284.01,613.18,1.0509,0,0.0011549,785.19,0.19284,3615.5,505.23,1,0.087846,0.05
278.95,621.46,1.1916,0,0.0010505,662.46,0.17228,3416.3,505.24,1,0.094555,0.05
274.14,629.22,1.3361,0,0.00095895,542.36,0.15455,3222.4,505.24,1,0.10129,0.05
269.69,636.3,1.4805,0,0.00085843,429,0.13615,3034.5,505.24,1,0.10806,0.05
265.6,642.74,1.6232,0,0.00071634,322.36,0.11196,2841.8,505.25,1,0.11485,0.05
261.82,648.62,1.763,0,0.00054213,222.2,0.083575,2614.6,505.25,1,0.12168,0.05
258.49,653.76,1.8928,0,0.00036719,133.23,0.055908,2292.5,505.26,1,0.12853,0.05
255.94,657.64,1.9961,0,0.00021886,65.11,0.032984,1803.9,505.26,1,0.13541,0.05
254.47,659.82,2.0584,0,0.00011731,24.476,0.017557,1179.4,505.26,1,0.14232,0.05
253.92,660.62,2.0834,0,6.1198e-05,6.9354,0.009131,603.85,505.25,1,0.14927,0.05
253.8,660.79,2.0896,0,3.3965e-05,1.5473,0.005064,239.02,505.25,1,0.15624,0.05
253.79,660.8,2.091,0,2.0477e-05,0.29953,0.0030528,77.79,505.25,1,0.16324,0.05
253.79,660.8,2.0918,0,1.2866e-05,0.059501,0.001918,25.855,505.26,1,0.17026,0.05
253.79,660.8,2.0926,0,8.6475e-06,0.017996,0.0012892,13.189,505.26,1,0.17732,0.05
253.79,660.8,2.0933,0,6.9726e-06,0.011253,0.0010395,10.784,505.26,1,0.18441,0.05
253.79,660.8,2.094,0,6.5772e-06,0.010192,0.00098053,10.393,505.26,1,0.19153,0.05
253.79,660.8,2.0947,0,6.511e-06,0.010026,0.00097066,10.329,505.26,1,0.19868,0.05
253.79,660.8,2.0954,0,6.5034e-06,0.0099992,0.00096953,10.313,505.26,1,0.20586,0.05
253.79,660.8,2.0961,0,6.5057e-06,0.0099946,0.00096987,10.305,505.27,1,0.21307,0.05
253.79,660.8,2.0968,0,6.5096e-06,0.0099937,0.00097044,10.298,505.27,1,0.22032,0.05
253.79,660.8,2.0976,0,6.5131e-06,0.0099934,0.00097096,10.292,505.27,1,0.22759,0.05
253.79,660.8,2.0983,0,6.5157e-06,0.0099934,0.00097135,10.288,505.27,1,0.23489,0.05
