"wallHeatFlux","Points:0","Points:1","Points:2"
41.089,2,-1,0.05
40.69,2,-0.99706,0.05
79.406,2,-0.99118,0.05
77.488,2,-0.98529,0.05
75.827,2,-0.97941,0.05
73.563,2,-0.97353,0.05
70.409,2,-0.96765,0.05
66.415,2,-0.96176,0.05
61.784,2,-0.95588,0.05
56.781,2,-0.95,0.05
51.677,2,-0.94412,0.05
46.71,2,-0.93824,0.05
42.049,2,-0.93235,0.05
37.746,2,-0.92647,0.05
33.762,2,-0.92059,0.05
30.041,2,-0.91471,0.05
26.533,2,-0.90882,0.05
23.207,2,-0.90294,0.05
20.055,2,-0.89706,0.05
17.082,2,-0.89118,0.05
14.306,2,-0.88529,0.05
11.755,2,-0.87941,0.05
9.4617,2,-0.87353,0.05
7.4447,2,-0.86765,0.05
5.7132,2,-0.86176,0.05
4.2654,2,-0.85588,0.05
3.0798,2,-0.85,0.05
2.1219,2,-0.84412,0.05
1.3519,2,-0.83824,0.05
0.73019,2,-0.83235,0.05
0.22412,2,-0.82647,0.05
-0.19881,2,-0.82059,0.05
-0.56933,2,-0.81471,0.05
-0.9055,2,-0.80882,0.05
-1.22,2,-0.80294,0.05
-1.5254,2,-0.79706,0.05
-1.8273,2,-0.79118,0.05
-2.1291,2,-0.78529,0.05
-2.4346,2,-0.77941,0.05
-2.7436,2,-0.77353,0.05
-3.0581,2,-0.76765,0.05
-3.3762,2,-0.76176,0.05
-3.6961,2,-0.75588,0.05
-4.0214,2,-0.75,0.05
-4.3522,2,-0.74412,0.05
-4.6866,2,-0.73824,0.05
-5.0264,2,-0.73235,0.05
-5.3716,2,-0.72647,0.05
-5.7222,2,-0.72059,0.05
-6.0801,2,-0.71471,0.05
-6.4452,2,-0.70882,0.05
-6.8193,2,-0.70294,0.05
-7.2043,2,-0.69706,0.05
-7.5983,2,-0.69118,0.05
-7.9977,2,-0.68529,0.05
-8.4026,2,-0.67941,0.05
-8.8129,2,-0.67353,0.05
-9.2249,2,-0.66765,0.05
-9.6352,2,-0.66176,0.05
-10.044,2,-0.65588,0.05
-10.454,2,-0.65,0.05
-10.864,2,-0.64412,0.05
-11.271,2,-0.63824,0.05
-11.676,2,-0.63235,0.05
-12.079,2,-0.62647,0.05
-12.478,2,-0.62059,0.05
-12.876,2,-0.61471,0.05
-13.274,2,-0.60882,0.05
-13.669,2,-0.60294,0.05
-14.061,2,-0.59706,0.05
-14.452,2,-0.59118,0.05
-14.84,2,-0.58529,0.05
-15.229,2,-0.57941,0.05
-15.625,2,-0.57353,0.05
-16.028,2,-0.56765,0.05
-16.435,2,-0.56176,0.05
-16.845,2,-0.55588,0.05
-17.255,2,-0.55,0.05
-17.664,2,-0.54412,0.05
-18.074,2,-0.53824,0.05
-18.488,2,-0.53235,0.05
-18.907,2,-0.52647,0.05
-19.334,2,-0.52059,0.05
-19.766,2,-0.51471,0.05
-20.201,2,-0.50882,0.05
-20.637,2,-0.50294,0.05
-21.069,2,-0.49706,0.05
-21.503,2,-0.49118,0.05
-21.944,2,-0.48529,0.05
-22.392,2,-0.47941,0.05
-22.845,2,-0.47353,0.05
-23.303,2,-0.46765,0.05
-23.764,2,-0.46176,0.05
-24.226,2,-0.45588,0.05
-24.689,2,-0.45,0.05
-25.152,2,-0.44412,0.05
-25.614,2,-0.43824,0.05
-26.077,2,-0.43235,0.05
-26.542,2,-0.42647,0.05
-27.008,2,-0.42059,0.05
-27.472,2,-0.41471,0.05
-27.933,2,-0.40882,0.05
-28.392,2,-0.40294,0.05
-28.853,2,-0.39706,0.05
-29.32,2,-0.39118,0.05
-29.818,2,-0.38529,0.05
-30.353,2,-0.37941,0.05
-30.865,2,-0.37353,0.05
-31.331,2,-0.36765,0.05
-31.779,2,-0.36176,0.05
-32.22,2,-0.35588,0.05
-32.654,2,-0.35,0.05
-33.083,2,-0.34412,0.05
-33.507,2,-0.33824,0.05
-33.927,2,-0.33235,0.05
-34.339,2,-0.32647,0.05
-34.745,2,-0.32059,0.05
-35.15,2,-0.31471,0.05
-35.551,2,-0.30882,0.05
-35.947,2,-0.30294,0.05
-36.341,2,-0.29706,0.05
-36.732,2,-0.29118,0.05
-37.117,2,-0.28529,0.05
-37.5,2,-0.27941,0.05
-37.881,2,-0.27353,0.05
-38.257,2,-0.26765,0.05
-38.624,2,-0.26176,0.05
-38.98,2,-0.25588,0.05
-39.325,2,-0.25,0.05
-39.658,2,-0.24412,0.05
-39.974,2,-0.23824,0.05
-40.272,2,-0.23235,0.05
-40.552,2,-0.22647,0.05
-40.815,2,-0.22059,0.05
-41.057,2,-0.21471,0.05
-41.275,2,-0.20882,0.05
-41.472,2,-0.20294,0.05
-41.651,2,-0.19706,0.05
-41.81,2,-0.19118,0.05
-41.948,2,-0.18529,0.05
-42.065,2,-0.17941,0.05
-42.167,2,-0.17353,0.05
-42.253,2,-0.16765,0.05
-42.326,2,-0.16176,0.05
-42.383,2,-0.15588,0.05
-42.427,2,-0.15,0.05
-42.459,2,-0.14412,0.05
-42.486,2,-0.13824,0.05
-42.51,2,-0.13235,0.05
-42.532,2,-0.12647,0.05
-42.553,2,-0.12059,0.05
-42.579,2,-0.11471,0.05
-42.617,2,-0.10882,0.05
-42.674,2,-0.10294,0.05
-42.763,2,-0.097059,0.05
-42.902,2,-0.091176,0.05
-43.119,2,-0.085294,0.05
-43.452,2,-0.079412,0.05
-43.943,2,-0.073529,0.05
-44.637,2,-0.067647,0.05
-45.557,2,-0.061765,0.05
-46.683,2,-0.055882,0.05
-47.948,2,-0.05,0.05
-49.204,2,-0.044118,0.05
-50.123,2,-0.038235,0.05
-50.237,2,-0.032353,0.05
-49.091,2,-0.026471,0.05
-46.128,2,-0.020588,0.05
-48.183,2,-0.014706,0.05
62.823,2,-0.0088235,0.05
209.44,2,-0.0029412,0.05
209.44,2,0,0.05
